tw272024652040269824	Albrecht ohne Verletzungen am Kopf: Der Schweizer Skirennfahrer Daniel Albrecht hat sich bei seinem Sturz in Lak... http://t.co/NOsyyfs6
tw271152011876110338	Weiter Gewalt zwischen Demonstranten und Sicherheitskräften in Kairo:  http://t.co/bHuBr39r
tw270647904358789123	Three Little Habits To Find Focus http://t.co/sgsivYhC
tw270965383043874816	Aspirational Travel Site Peek Goes UGC, Now Lets Anyone Submit A "Perfect Day"  http://t.co/voVigo7c by @ryanlawler
tw271557204484694016	Das Handy als Zahnbürste: Bald soll das kabellose Laden mobiler Geräte den Durchbruch schaffen – diverse Standar... http://t.co/OBbWmmr9
tw272433317306044418	RT @teamcymru: Eugene Kaspersky: Definition Of 'Cyberwar' In Flux, Threat Of Cyber Weapons Underestimated http://t.co/uXbDKLoV
tw271881392672083968	Der übers Fischen diskutiert: Der NHL-Instruktor Rob Shick stellt den Schweizer Eishockey-Schiedsrichtern ein gu... http://t.co/FtnvGw1o
tw270901944342691840	Claudio Ammann neuer CEO: Am 1. Februar 2013 wird Claudio Ammann die neu geschaffene Position des CEO im FC Züri... http://t.co/tk7CUEQN
tw271635876726054912	[dos] - Adobe Reader 10.1.4 JP2KLib&amp;CoolType Crash PoC: Adobe Reader 10.1.4 JP2KLib&amp;CoolType Crash PoC http://t.co/Lv9W8hdW
tw271400462878662657	RT @jeremiahg: @randomuserid IMHO, U.S. regulation will legitimize the space and shift $ up to bigger players like Raytheon &amp; Northr ...
tw270864916674646016	UBS Rogue Trader Found Guilty of Fraud #KwekuAdoboli #Business #Crime #UKnews #UBS #Banking #Europeanbanks http://t.co/wu2nFqWK
tw271555997452099584	&amp;#8220;Financial Times Deutschland&amp;#8221; &amp;#8211; Chronik eines absehbaren Ablebens http://t.co/d014XsaW
tw271358791289810944	The tremendous evolution of the Web over the last 10 years makes you wonder how it will look like in 10 years. Ideas?
tw270927902298750977	RT @EdwardTufte: Like iPad, Win8 has single window on screen. Single is OK for media consumption, but not production. Jakob Nielsen says ...
tw271538801283846144	Samba Mobile And Yuilop, Two European Free 3G Services Startups, Sign Strategic Partnership To Cross-Pr... http://t.co/YIy9MAMb by @riptari
tw271974212078559232	More Women Go In For 'Stiletto Surgery' #StilettoSurgery #women http://t.co/htzVyxIE
tw271652859450388481	Happy Thanksgiving! http://t.co/v5vdohcv
tw270894906501898240	Our 2012 Holiday Gift Guide For Eco-Warriors http://t.co/vxWHD9aV
tw270664730178367488	WatchESPN Finally Comes To Xbox http://t.co/xfptLkVe by @ripemp
tw271614888999268352	Recent Top Stories: They Cracked This 250-Year-Old Code, and Found a Secret Society Inside http://t.co/n2JIxzVR
tw271195346464567296	Enttäuschung über gescheiterte Griechenland-Hilfe: Über die Rettung Griechenlands sind sich die Euro-Finanzminis... http://t.co/lnSmqj1D
tw271717168645824512	RT @neokoenig: @elonmusk if anyone has issues accessing the video, I've mirrored it on YouTube here: http://t.co/yWskR9kw
tw272006811480104960	The battle of the genetically engineered food (in, shocker, California): http://t.co/id9TZoIj
tw270603773288796161	RT @secretstashmc: @wired this guy is a cowboy, maybe a cocaine cowboy but still a cowboy, great read.
tw271671047982563329	Linux Mint 14 released: It's like Windows 8, minus the bad bits http://t.co/Mbhd5iPO
tw271058939024646144	RT @markrobsf: John McAfee saw government "frogman" sneaking up on him. Audio of his freakouts. http://t.co/79Vjdu4u
tw271025130740797441	On this week's Storyboard podcast, WashPo's deputy political editor talks campaigns &amp; coverage w/@jetjocko: http://t.co/e85EHoB3
tw272348088516083713	Bestzeit für Jenson Button:  http://t.co/jbbOGqiL
tw270873247497732096	Google Glass could be the virtual dieting pill of the future http://t.co/kdlI6a4y
